CIK,Change Jaccard,Change TFID,Change W2V,Common Words,Deleted Words,New Words,Number of Words,Top words,Year
1053352,0.741192411924,0.406949254468,0.389883497853,0.258807588076,0.0948509485095,0.646341463415,13046,"['product', 'distributor', 'market', 'oper', 'result', 'busi', 'law', 'compani', 'sharehold', 'regul']",2013
1053352,0.647940074906,0.680663502452,0.21246110432,0.352059925094,0.481897627965,0.166042446941,7549,"['loan', 'capit', 'bank', 'busi', 'result', 'real', 'requir', 'estat', 'addit', 'financi']",2014
1053352,0.630555555556,0.754300962266,0.235570231306,0.369444444444,0.206944444444,0.423611111111,12536,"['product', 'clinic', 'sustol', 'trial', 'approv', 'manufactur', 'candid', 'regulatori', 'requir', 'develop']",2015
1096385,0.673258003766,0.571498474017,0.308787056143,0.326741996234,0.367231638418,0.306026365348,4127,"['anim', 'hospit', 'oper', 'busi', 'result', 'laboratori', 'revenu', 'servic', 'market', 'advers']",2012
1096385,0.0730994152047,0.0166361449541,0.00830750186491,0.926900584795,0.0555555555556,0.0175438596491,3860,"['anim', 'oper', 'hospit', 'busi', 'result', 'laboratori', 'market', 'advers', 'product', 'affect']",2013
1096385,0.653495440729,0.552535214657,0.130555219109,0.346504559271,0.144376899696,0.509118541033,14050,"['solut', 'custom', 'class', 'veeva', 'common', 'result', 'oper', 'stock', 'busi', 'advers']",2014
1175454,0.0691333982473,0.00929265582404,0.00548067685828,0.930866601753,0.033106134372,0.0360272638754,9656,"['busi', 'result', 'oper', 'servic', 'advers', 'custom', 'financi', 'affect', 'market', 'addit']",2012
1175454,0.62537993921,0.770354547531,0.403814301238,0.37462006079,0.379939209726,0.245440729483,5985,"['energi', 'duke', 'registr', 'oper', 'result', 'progress', 'cost', 'carolina', 'market', 'impact']",2013
1175454,0.627055306428,0.767354434659,0.386109617808,0.372944693572,0.23692077728,0.390134529148,9124,"['busi', 'oper', 'result', 'servic', 'custom', 'advers', 'affect', 'card', 'addit', 'includ']",2014
1175454,0.188943894389,0.0280471399202,0.0174903085766,0.811056105611,0.0313531353135,0.157590759076,11924,"['busi', 'result', 'oper', 'servic', 'custom', 'card', 'advers', 'financi', 'product', 'condit']",2015
883975,0.257997936017,0.0612798860352,0.220711985583,0.742002063983,0.124871001032,0.133126934985,8427,"['product', 'develop', 'cell', 'patent', 'stem', 'obtain', 'technolog', 'research', 'use', 'market']",2008
883975,0.328037383178,0.0737008650423,0.234717121546,0.671962616822,0.120560747664,0.207476635514,6921,"['product', 'develop', 'cell', 'technolog', 'research', 'oper', 'market', 'use', 'addit', 'patent']",2011
883975,0.171890798787,0.0365029794931,0.0979339265986,0.828109201213,0.123356926188,0.0485338725986,6230,"['product', 'develop', 'clinic', 'cell', 'technolog', 'patent', 'use', 'trial', 'addit', 'research']",2015
1082506,0.200575815739,0.0421537368773,0.045313729793,0.799424184261,0.0854126679463,0.115163147793,7571,"['product', 'result', 'oper', 'busi', 'servic', 'custom', 'market', 'advers', 'secur', 'addit']",2008
1082506,0.547231270358,0.363119445691,0.241638445207,0.452768729642,0.32328990228,0.223941368078,6544,"['patent', 'busi', 'result', 'revenu', 'oper', 'ericsson', 'licens', 'llc', 'financi', 'time']",2009
1082506,0.567315834039,0.399469880462,0.327272877374,0.432684165961,0.270956816257,0.296359017782,6595,"['product', 'servic', 'result', 'busi', 'oper', 'custom', 'market', 'provid', 'advers', 'revenu']",2010
1082506,0.378734622144,0.0870566091117,0.0994215154162,0.621265377856,0.13532513181,0.243409490334,7538,"['product', 'oper', 'servic', 'busi', 'result', 'custom', 'market', 'new', 'advers', 'revenu']",2011
1082506,0.0643863179074,0.0122671637572,0.00875844546119,0.935613682093,0.0543259557344,0.010060362173,7065,"['product', 'oper', 'servic', 'busi', 'result', 'custom', 'market', 'new', 'advers', 'revenu']",2014
1082506,0.538996138996,0.402614692447,0.268937684179,0.461003861004,0.264864864865,0.274131274131,8029,"['patent', 'result', 'stock', 'busi', 'revenu', 'ericsson', 'oper', 'compani', 'licens', 'llc']",2015
1178970,0.194915254237,0.0779502477227,1.22635648474,0.805084745763,0.118644067797,0.0762711864407,1580,"['loan', 'loss', 'mortgag', 'condit', 'rate', 'result', 'oper', 'commerci', 'bank', 'advers']",2008
